地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2017/02/12,22:36:53.9,岩手県沖,40°09.6′N,142°21.9′E,36 km,4.8,震度３
2017/02/11,06:38:58.8,福島県沖,37°05.7′N,141°21.1′E,32 km,4.4,震度３
2017/02/11,06:05:26.7,福島県沖,37°10.6′N,141°43.1′E,41 km,5.4,震度３
2017/02/08,21:14:57.6,五島列島近海,32°47.2′N,129°16.8′E,9 km,4.1,震度３
2017/02/07,20:03:55.9,茨城県北部,36°42.4′N,140°38.0′E,6 km,4.4,震度３
2017/02/02,03:11:27.9,奄美大島近海,27°59.7′N,130°15.9′E,34 km,4.3,震度３
2017/01/28,22:40:29.6,秋田県内陸南部,39°45.6′N,140°45.8′E,151 km,5.0,震度３
2017/01/28,05:02:03.0,徳島県北部,33°55.4′N,133°43.8′E,45 km,3.9,震度３
2017/01/26,23:34:33.0,熊本県熊本地方,32°29.1′N,130°37.7′E,9 km,3.9,震度３
2017/01/26,17:06:27.9,岩手県沖,40°09.9′N,142°27.3′E,36 km,5.2,震度３
2017/01/18,17:19:25.8,茨城県沖,36°25.7′N,140°38.5′E,53 km,4.2,震度４
2017/01/13,12:25:30.7,千葉県北東部,35°44.0′N,140°36.8′E,50 km,4.9,震度３
2017/01/13,08:41:45.6,福島県会津,37°26.2′N,139°41.7′E,5 km,3.5,震度３
2017/01/11,19:11:15.4,熊本県熊本地方,32°54.1′N,130°51.4′E,9 km,3.4,震度４
2017/01/10,06:52:30.1,岐阜県美濃中西部,35°47.7′N,136°55.1′E,10 km,3.8,震度３
2017/01/08,13:15:41.4,福島県沖,36°52.7′N,140°59.1′E,55 km,4.3,震度３
2017/01/05,02:53:20.5,福島県沖,37°07.3′N,141°21.5′E,26 km,5.6,震度４
2017/01/05,00:43:59.1,福島県沖,36°51.7′N,140°58.7′E,56 km,5.3,震度４
